ASP,OrderingCode,Productno,Denomination,Qty,Comments,BOMFilter,Build Type,,,,,
Ericsson,1E3SC6201IDB1B3UGL21AD6,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,KDV127621/11,Baseband 6630 with fan
Ericsson,1E3SC6201IDB1B3UGL21AD6,RPM777526/02000,ET Power cable,2,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,RPM777526/02000,ET Power cable
Ericsson,1E3SC6201IDB1B3UGL21AD6,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,RPM777567/05000,Grounding Cable
Ericsson,1E3SC6201IDB1B3UGL21AD6,SXK1253086/1,Cable guide,2,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,SXK1253086/1,Cable guide
TEF,1E3SC6201IDB1B3UGL21AD6,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,3,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,1E3SC6201IDB1B3UGL21AD6,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,1E3SC6201IDB1B3UGL21AD6,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6201IDB1B3UGL21AD6,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,1E3SC6201IDB1B3UGL21AD6,KRC161635/1,RADIO UNIT/Radio 4415 B1,3,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,KRC161635/1,RADIO UNIT/Radio 4415 B1
TEF,1E3SC6201IDB1B3UGL21AD6,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,1E3SC6201IDB1B3UGL21AD6,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,1E3SC6201IDB1B3UGL21AD6,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6201IDB1B3UGL21AD6,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6201IDB1B3AL18UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,KDV127621/11,Baseband 6630 with fan
Ericsson,1E3SC6201IDB1B3AL18UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RPM777526/02000,ET Power cable
Ericsson,1E3SC6201IDB1B3AL18UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RPM777567/05000,Grounding Cable
Ericsson,1E3SC6201IDB1B3AL18UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SXK1253086/1,Cable guide
TEF,1E3SC6201IDB1B3AL18UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,3,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,1E3SC6201IDB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,1E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,1E3SC6201IDB1B3AL18UG,KRC161635/1,RADIO UNIT/Radio 4415 B1,3,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,KRC161635/1,RADIO UNIT/Radio 4415 B1
TEF,1E3SC6201IDB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,1E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,1E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6201IDB1B3AL18UG,KRC161637/1,TRANSCEIVER/Radio 4415 B3;Radio Unit,2,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,KRC161637/1,TRANSCEIVER/Radio 4415 B3;Radio Unit
Ericsson,1E3SC6201IDB1B3AL18UG,NTB1010327/2,Subrack kit,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,NTB1010327/2,Subrack kit
Ericsson,1E3SC6201IDB1B3AL18UG,NTB1010326/2,Frame kit (only for 6201),1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,NTB1010326/2,Frame kit (only for 6201)
Ericsson,1E3SC6201IDB1B3AL18UG,RPM777034/00550,EARTH CABLE M6 (dual) cable lug to M6 cable lug,2,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RPM777034/00550,EARTH CABLE M6 (dual) cable lug to M6 cable lug
Ericsson,1E3SC6201IDB1B3AL18UG,RPM777583/01000,DC Power cable,2,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RPM777583/01000,DC Power cable
Ericsson,1E3SC6201IDB1B3AL18UG,SXA2151177/1,Cable shelf 0.5U,2,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SXA2151177/1,Cable shelf 0.5U
Ericsson,1E3SC6201IDB1B3AL18UG,SXA2151640/2,9U shelf plate,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SXA2151640/2,9U shelf plate
Ericsson,1E3SC6201IDB1B3AL18UG,SXA2151171/1,Air resistor 0.5U,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SXA2151171/1,Air resistor 0.5U
Ericsson,1E3SC6201IDB1B3AL18UG,BMG980336/7,PDU 01 04; Power Distribution Unit,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,BMG980336/7,PDU 01 04; Power Distribution Unit
Ericsson,1E3SC6201IDB1B3AL18UG,SXK1252029/3,1.5 U power sub rack,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SXK1252029/3,1.5 U power sub rack
Ericsson,1E3SC6201IDB1B3AL18UG,SXK111539/1,M6 kit,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SXK111539/1,M6 kit
Ericsson,1E3SC6201IDB1B3AL18UG,SXA2152667/4,1.5U power rack shelf1 left,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SXA2152667/4,1.5U power rack shelf1 left
Ericsson,1E3SC6201IDB1B3AL18UG,SXA2152668/4,1.5U power rack shelf1 right,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SXA2152668/4,1.5U power rack shelf1 right
Ericsson,1E3SC6201IDB1B3AL18UG,BMG980392/1,PCU DC 08,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,BMG980392/1,PCU DC 08
Ericsson,1E3SC6201IDB1B3AL18UG,RPM77718/00350,Power cable,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RPM77718/00350,Power cable
Ericsson,1E3SC6201IDB1B3AL18UG,SXK1098257/1,Unit dummy,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SXK1098257/1,Unit dummy
Ericsson,1E3SC6201IDB1B3AL18UG,RPM2533512/2000,CPRI DU-RRU,4,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RPM2533512/2000,CPRI DU-RRU
Ericsson,1E3SC6201IDB1B3AL18UG,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24,8,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24
Ericsson,1E3SC6201IDB1B3AL18UG,SXK1098257/2,RRU dummy,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SXK1098257/2,RRU dummy
Ericsson,1E3SC6201IDB1B3AL18UG,SDF111320/2,Connector sleeve,1,,,B1-B3,,,1E3SC6201IDB1B3AL18UG,SDF111320/2,Connector sleeve
Ericsson,E3SC6201IDB1B3UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,E3SC6201IDB1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,E3SC6201IDB1B3UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,E3SC6201IDB1B3UG,RPM777526/02000,ET Power cable
Ericsson,E3SC6201IDB1B3UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,E3SC6201IDB1B3UG,RPM777567/05000,Grounding Cable
Ericsson,E3SC6201IDB1B3UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,E3SC6201IDB1B3UG,SXK1253086/1,Cable guide
TEF,E3SC6201IDB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,3,,,B1-B3,,,E3SC6201IDB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,E3SC6201IDB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,E3SC6201IDB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,E3SC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3SC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E3SC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3SC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,E3SC6201IDB1B3UG,KRC161635/1,RADIO UNIT/Radio 4415 B1,3,,,B1-B3,,,E3SC6201IDB1B3UG,KRC161635/1,RADIO UNIT/Radio 4415 B1
TEF,E3SC6201IDB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,E3SC6201IDB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,E3SC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3SC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,E3SC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3SC6201IDB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E3SC6201IDB1B3UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE,6,,,B1-B3,,,E3SC6201IDB1B3UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,E3SC6201IDB1B3UG,RPM777279/00650,SIGNAL CABLE,1,,,B1-B3,,,E3SC6201IDB1B3UG,RPM777279/00650,SIGNAL CABLE
Ericsson,E3SC6201IDB1B3UG,SXA1342193/1,MECHANICAL COMPONENT/Dummy 62,1,,,B1-B3,,,E3SC6201IDB1B3UG,SXA1342193/1,MECHANICAL COMPONENT/Dummy 62
Ericsson,E3SC6201IDB1B3AL18UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,E3SC6201IDB1B3AL18UG,KDV127621/11,Baseband 6630 with fan
Ericsson,E3SC6201IDB1B3AL18UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RPM777526/02000,ET Power cable
Ericsson,E3SC6201IDB1B3AL18UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RPM777567/05000,Grounding Cable
Ericsson,E3SC6201IDB1B3AL18UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXK1253086/1,Cable guide
TEF,E3SC6201IDB1B3AL18UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,3,,,B1-B3,,,E3SC6201IDB1B3AL18UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,E3SC6201IDB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,E3SC6201IDB1B3AL18UG,KRC161635/1,RADIO UNIT/Radio 4415 B1,3,,,B1-B3,,,E3SC6201IDB1B3AL18UG,KRC161635/1,RADIO UNIT/Radio 4415 B1
TEF,E3SC6201IDB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,E3SC6201IDB1B3AL18UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE,6,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RPM777211/01800,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,E3SC6201IDB1B3AL18UG,RPM777279/00650,SIGNAL CABLE,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RPM777279/00650,SIGNAL CABLE
Ericsson,E3SC6201IDB1B3AL18UG,SXA1342193/1,MECHANICAL COMPONENT/Dummy 62,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXA1342193/1,MECHANICAL COMPONENT/Dummy 62
Ericsson,E3SC6201IDB1B3AL18UG,KRC161637/1,TRANSCEIVER/Radio 4415 B3;Radio Unit,2,,,B1-B3,,,E3SC6201IDB1B3AL18UG,KRC161637/1,TRANSCEIVER/Radio 4415 B3;Radio Unit
Ericsson,E3SC6201IDB1B3AL18UG,NTB1010327/2,Subrack kit,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,NTB1010327/2,Subrack kit
Ericsson,E3SC6201IDB1B3AL18UG,NTB1010326/2,Frame kit (only for 6201),1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,NTB1010326/2,Frame kit (only for 6201)
Ericsson,E3SC6201IDB1B3AL18UG,RPM777034/00550,EARTH CABLE M6 (dual) cable lug to M6 cable lug,2,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RPM777034/00550,EARTH CABLE M6 (dual) cable lug to M6 cable lug
Ericsson,E3SC6201IDB1B3AL18UG,RPM777583/01000,DC Power cable,2,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RPM777583/01000,DC Power cable
Ericsson,E3SC6201IDB1B3AL18UG,SXA2151177/1,Cable shelf 0.5U,2,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXA2151177/1,Cable shelf 0.5U
Ericsson,E3SC6201IDB1B3AL18UG,SXA2151640/2,9U shelf plate,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXA2151640/2,9U shelf plate
Ericsson,E3SC6201IDB1B3AL18UG,SXA2151171/1,Air resistor 0.5U,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXA2151171/1,Air resistor 0.5U
Ericsson,E3SC6201IDB1B3AL18UG,BMG980336/7,PDU 01 04; Power Distribution Unit,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,BMG980336/7,PDU 01 04; Power Distribution Unit
Ericsson,E3SC6201IDB1B3AL18UG,SXK1252029/3,1.5 U power sub rack,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXK1252029/3,1.5 U power sub rack
Ericsson,E3SC6201IDB1B3AL18UG,SXK111539/1,M6 kit,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXK111539/1,M6 kit
Ericsson,E3SC6201IDB1B3AL18UG,SXA2152667/4,1.5U power rack shelf1 left,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXA2152667/4,1.5U power rack shelf1 left
Ericsson,E3SC6201IDB1B3AL18UG,SXA2152668/4,1.5U power rack shelf1 right,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXA2152668/4,1.5U power rack shelf1 right
Ericsson,E3SC6201IDB1B3AL18UG,BMG980392/1,PCU DC 08,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,BMG980392/1,PCU DC 08
Ericsson,E3SC6201IDB1B3AL18UG,RPM77718/00350,Power cable,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RPM77718/00350,Power cable
Ericsson,E3SC6201IDB1B3AL18UG,SXK1098257/1,Unit dummy,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXK1098257/1,Unit dummy
Ericsson,E3SC6201IDB1B3AL18UG,RPM2533512/2000,CPRI DU-RRU,4,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RPM2533512/2000,CPRI DU-RRU
Ericsson,E3SC6201IDB1B3AL18UG,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24,8,,,B1-B3,,,E3SC6201IDB1B3AL18UG,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24
Ericsson,E3SC6201IDB1B3AL18UG,SXK1098257/2,RRU dummy,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SXK1098257/2,RRU dummy
Ericsson,E3SC6201IDB1B3AL18UG,SDF111320/2,Connector sleeve,1,,,B1-B3,,,E3SC6201IDB1B3AL18UG,SDF111320/2,Connector sleeve
Ericsson,1E3SC6102OAB1B3UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,1E3SC6102OAB1B3UG,KDV127621/11,Baseband 6630 with fan
Ericsson,1E3SC6102OAB1B3UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,1E3SC6102OAB1B3UG,RPM777526/02000,ET Power cable
Ericsson,1E3SC6102OAB1B3UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,1E3SC6102OAB1B3UG,RPM777567/05000,Grounding Cable
Ericsson,1E3SC6102OAB1B3UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,1E3SC6102OAB1B3UG,SXK1253086/1,Cable guide
TEF,1E3SC6102OAB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,3,,,B1-B3,,,1E3SC6102OAB1B3UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,1E3SC6102OAB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,1E3SC6102OAB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,1E3SC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,1E3SC6102OAB1B3UG,KRC161635/1,RADIO UNIT/Radio 4415 B1,3,,,B1-B3,,,1E3SC6102OAB1B3UG,KRC161635/1,RADIO UNIT/Radio 4415 B1
TEF,1E3SC6102OAB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,1E3SC6102OAB1B3UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,1E3SC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,1E3SC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OAB1B3UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OAB1B3UG,BMG980336/7,PDU 01 04; Power Distribution Unit,1,,,B1-B3,,,1E3SC6102OAB1B3UG,BMG980336/7,PDU 01 04; Power Distribution Unit
Ericsson,1E3SC6102OAB1B3UG,RPM77701/00500,CABLE WITH CONNECTOR/SIGNAL CABLE,1,,,B1-B3,,,1E3SC6102OAB1B3UG,RPM77701/00500,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,1E3SC6102OAB1B3UG,NFT30459/2,"Surge Protection Device, SPD -48V",3,,,B1-B3,,,1E3SC6102OAB1B3UG,NFT30459/2,"Surge Protection Device, SPD -48V"
Ericsson,1E3SC6102OAB1B3UG,RPM777193/01500,CABLE WITH CONNECTOR/DC POWER CABLE,3,,,B1-B3,,,1E3SC6102OAB1B3UG,RPM777193/01500,CABLE WITH CONNECTOR/DC POWER CABLE
Ericsson,1E3SC6102OAB1B3UG,NTM1012478/1,SET OF MATERIALS/Grounding plate Hybrid,1,,,B1-B3,,,1E3SC6102OAB1B3UG,NTM1012478/1,SET OF MATERIALS/Grounding plate Hybrid
Ericsson,1E3SC6102OAB1B3UG,BML161184/1,RECTIFIER/PSU AC 03; Power Supply Unit,4,,,B1-B3,,,1E3SC6102OAB1B3UG,BML161184/1,RECTIFIER/PSU AC 03; Power Supply Unit
Ericsson,1E3SC6102OAB1B3AL18UG,KDV127621/11,Baseband 6630 with fan,2,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,KDV127621/11,Baseband 6630 with fan
Ericsson,1E3SC6102OAB1B3AL18UG,RPM777526/02000,ET Power cable,2,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RPM777526/02000,ET Power cable
Ericsson,1E3SC6102OAB1B3AL18UG,RPM777567/05000,Grounding Cable,2,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RPM777567/05000,Grounding Cable
Ericsson,1E3SC6102OAB1B3AL18UG,SXK1253086/1,Cable guide,2,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,SXK1253086/1,Cable guide
TEF,1E3SC6102OAB1B3AL18UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,3,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,1E3SC6102OAB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,1E3SC6102OAB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OAB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,1E3SC6102OAB1B3AL18UG,KRC161635/1,RADIO UNIT/Radio 4415 B1,3,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,KRC161635/1,RADIO UNIT/Radio 4415 B1
TEF,1E3SC6102OAB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire),3,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,1E3SC6102OAB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,1E3SC6102OAB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,6,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,1E3SC6102OAB1B3AL18UG,BMG980336/7,PDU 01 04; Power Distribution Unit,1,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,BMG980336/7,PDU 01 04; Power Distribution Unit
Ericsson,1E3SC6102OAB1B3AL18UG,RPM77701/00500,CABLE WITH CONNECTOR/SIGNAL CABLE,1,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RPM77701/00500,CABLE WITH CONNECTOR/SIGNAL CABLE
Ericsson,1E3SC6102OAB1B3AL18UG,NFT30459/2,"Surge Protection Device, SPD -48V",3,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,NFT30459/2,"Surge Protection Device, SPD -48V"
Ericsson,1E3SC6102OAB1B3AL18UG,RPM777193/01500,CABLE WITH CONNECTOR/DC POWER CABLE,3,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RPM777193/01500,CABLE WITH CONNECTOR/DC POWER CABLE
Ericsson,1E3SC6102OAB1B3AL18UG,NTM1012478/1,SET OF MATERIALS/Grounding plate Hybrid,1,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,NTM1012478/1,SET OF MATERIALS/Grounding plate Hybrid
Ericsson,1E3SC6102OAB1B3AL18UG,KRC161637/1,TRANSCEIVER/Radio 4415 B3;Radio Unit,2,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,KRC161637/1,TRANSCEIVER/Radio 4415 B3;Radio Unit
Ericsson,1E3SC6102OAB1B3AL18UG,NTB1010327/2,Subrack kit,1,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,NTB1010327/2,Subrack kit
Ericsson,1E3SC6102OAB1B3AL18UG,SXA1344944/1,AIR PLATE/Air Plate RF Shelf,1,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,SXA1344944/1,AIR PLATE/Air Plate RF Shelf
Ericsson,1E3SC6102OAB1B3AL18UG,RPM2533512/2000,CPRI DU-RRU,4,,,B1-B3,,,1E3SC6102OAB1B3AL18UG,RPM2533512/2000,CPRI DU-RRU
